Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-1782	CPD-12575 // CPD-9577 // VAL // CPD-9582 // PHE // INDOLE-3-ACETYL-ASP // L-ASPARTATE // INDOLE-3-ACETYL-ALA // L-ALPHA-ALANINE // INDOLE-3-ACETYL-GLU // GLT // INDOLE-3-ACETYL-LEU // LEU // PPI // AMP // INDOLE-3-ACETYL-GLN // INDOLE_ACETATE_AUXIN // GLN // ATP // Glucopyranose // MYO-INOSITOL // CPD-1102 // 5-O-INDOL-3-YLACETYL-MYO-ETCETERA // CPD-14553 // INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE // UDP // PROTON // CPD-12513 // CPD-165	AT1G59500-MONOMER // ZM00001D043350-MONOMER // ZM00001D029577-MONOMER // AT2G14960-MONOMER // AT2G23170-MONOMER // ZM00001D010697-MONOMER // MONOMERDQC-48557 // ZM00001D007395-MONOMER // ZM00001D043244-MONOMER // AT5G13380-MONOMER // AT5G13370-MONOMER // MONOMERQT-7985 // MONOMERQT-7986 // AT2G47750-MONOMER // AT1G28130-MONOMER // AT4G27260-MONOMER // AT1G59500-MONOMER // AT4G37390-MONOMER // AT5G54510-MONOMER // ZM00001D033580-MONOMER // AT1G05530-MONOMER // AT4G15550-MONOMER // AT1G05560-MONOMER // MONOMER-3961 // AT2G31750-MONOMER // AT2G23260-MONOMER // MONOMER-3981 // MONOMER-3982	AT1G59500 // ZM00001D043350 // ZM00001D029577 // AT2G14960 // AT2G23170 // ZM00001D010697 // ZM00001D022473 // ZM00001D007395 // ZM00001D043244 // AT5G13380 // AT5G13370 // AT5G13360 // AT5G13350 // AT2G47750 // AT1G28130 // AT4G27260 // AT1G59500 // AT4G37390 // AT5G54510 // ZM00001D033580 // AT1G05530 // AT4G15550 // AT1G05560 // G-3021 // AT2G31750 // AT2G23260	Indole-3-Acetate-Inactivation // Super-Pathways	2.4.2.34-RXN // 2.4.1.156-RXN // 2.3.1.72-RXN // RXN-2948 // RXN-2945 // RXN-2947 // RXN-2944 // RXN-2946 // RXN-9084 // RXN-9083 // 2.4.1.121-RXN	CPD-12575 // INDOLE_ACETATE_AUXIN	CPD-1102 // UDP
PWY-3097	CPD-6642 // CPD-6644 // CPD-6643 // CPD-6722 // CPD-6721 // CPD-6646 // PPI // CPD-6641 // CPD-4211 // NADP // KIEVITONE-CPD // CPD-6645 // NADPH // CPD-3521 // CPD-3141 // CPD-3622 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // BIOCHANIN-A // CPD-5421 // CARBON-DIOXIDE // SUC // 2-KETOGLUTARATE // NARINGENIN-CMPD // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-3161 // CPD-431 // Red-NADPH-Hemoprotein-Reductases // PROTON // OXYGEN-MOLECULE	MONOMER-7402 // MONOMER-10741 // MONOMER-4681 // MONOMER-5151 // MONOMER-5153 // MONOMER-5323 // MONOMER-7523 // MONOMER-5149	G-5662 // G-5703	ISOFLAVONOID-SYN // Super-Pathways	RXN-7750 // RXN-7650 // RXN-7686 // RXN-5502 // RXN-5501 // RXN-3761 // RXN-3645 // RXN-3642 // RXN-3303 // RXN-1541 // RXN-7227 // RXN-7226 // RXN-7225 // RXN-7224 // RXN-7781 // RXN-7780 // RXN-7779 // RXN-7143 // RXN-7142 // RXN-7141		
ILE-VAL-PWY	2-KETO-3-METHYL-VALERATE // ILE // 1-KETO-2-METHYLVALERATE // 2-ACETO-2-HYDROXY-BUTYRATE // THR // AMMONIUM // 2-OXOBUTANOATE // CPD-16013 // CPD-15056 // WATER // 2-KETO-ISOVALERATE // GLT // VAL // 2-KETOGLUTARATE // NADPH // CPD-13357 // NADP // CARBON-DIOXIDE // 2-ACETO-LACTATE // PROTON // PYRUVATE	CPLXQT-4 // AT3G23940-MONOMER // AT3G49680-MONOMER // AT1G10070-MONOMER // AT5G65780-MONOMER // AT3G58610-MONOMER // AT2G31810-MONOMER // AT5G16290-MONOMER // AT3G48560-MONOMER	AT3G10050 // AT3G23940 // AT3G49680 // AT1G10070 // AT5G65780 // AT3G58610 // AT2G31810 // AT5G16290 // AT3G48560	AMINO-ACID-FAMILY-SYN	ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN // RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN		
PWY-6234	Jasmonoyl-ACCs // CPD-68 // Jasmonoyl-Leucines // LEU // Jasmonoyl-Valines // VAL // Jasmonoyl-Isoleucines // ILE // Jasmonoyl-Phenylalanines // PHE // PROTON // PPI // AMP // Jasmonoyl-Glutamines // Jasmonic-Acids // GLN // ATP	MONOMER-14776 // MONOMER-14777	G-11278 // G-11279	Super-Pathways	RXN-10449 // RXN-10456 // RXN-10455 // RXN-10457 // RXN-10459 // RXN-10439		
PWY-5004	E- // CPD-18238 // CARBAMATE // CPD-13518 // GLN // UREA // 2-KETOGLUTARATE // L-ORNITHINE // GLT // L-GLUTAMATE-5-P // L-GLUTAMATE_GAMMA-SEMIALDEHYDE // L-DELTA1-PYRROLINE_5-CARBOXYLATE // ETR-Quinols // ETR-Quinones // PRO // AMP // PPI // L-ASPARTATE // FUM // L-ARGININO-SUCCINATE // CARBAMOYL-P // Pi // ADP // ATP // HCO3 // AMMONIUM // WATER // NADP // NITRIC-OXIDE // L-CITRULLINE // ARG // NADPH // PROTON // OXYGEN-MOLECULE	AT2G41220-MONOMER // AT5G04140-MONOMER // AT2G38230-MONOMER // MONOMERQT-8079 // AT3G16050-MONOMER // AT2G38210-MONOMER // CPLX-8103 // MONOMERQT-9199 // AT5G10240-MONOMER // AT5G65010-MONOMER // AT3G47340-MONOMER // AT3G12670-MONOMER // AT1G30820-MONOMER // AT2G34890-MONOMER // AT4G20320-MONOMER // MONOMERQT-8371 // AT4G26900-MONOMER // AT5G53460-MONOMER // AT5G07360-MONOMER // AT3G25660-MONOMER // AT1G48520-MONOMER // MONOMERQT-8354 // MONOMERQT-8114 // AT4G32915-MONOMER // AT1G63660-MONOMER // AT5G60540-MONOMER // AT5G46180-MONOMER // AT3G55610-MONOMER // AT2G39800-MONOMER // AT3G30775-MONOMER // AT5G38710-MONOMER // MONOMER-17454 // AT1G75330-MONOMER // AT4G08900-MONOMER // AT4G08870-MONOMER // CPLXQT-47 // AT3G57180-MONOMER // AT4G10620-MONOMER // AT4G24830-MONOMER // AT5G10920-MONOMER // MONOMERQT-4120	AT2G41220 // AT5G04140 // AT2G38230 // AT5G01410 // AT3G16050 // AT2G38210 // AT2G38230 // AT2G03667 // AT5G10240 // AT5G65010 // AT3G47340 // AT3G12670 // AT1G30820 // AT2G34890 // AT4G20320 // AT4G02120 // AT4G26900 // AT5G53460 // AT5G07360 // AT3G25660 // AT1G48520 // AT4G05400 // AT4G34880 // AT4G32915 // AT1G63660 // AT5G60540 // AT5G46180 // AT3G55610 // AT2G39800 // AT3G30775 // AT5G38710 // AT1G75330 // AT4G08900 // AT4G08870 // AT1G29900 // AT3G27740 // AT3G57180 // AT4G10620 // AT4G24830 // AT5G10920	Citrulline-Biosynthesis // Super-Pathways	NITRIC-OXIDE-SYNTHASE-RXN // RXN-13202 // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // RXN-14903 // GLUTSEMIALDEHYDROG-RXN // GLUTKIN-RXN // ORNCARBAMTRANSFER-RXN // ORNITHINE-GLU-AMINOTRANSFERASE-RXN // SPONTPRO-RXN // ARGINASE-RXN // GLUTAMIN-RXN		
PWY-3001	OXALACETIC_ACID // L-ASPARTATE // L-BETA-ASPARTYL-P // NADH-P-OR-NOP // L-ASPARTATE-SEMIALDEHYDE // NAD-P-OR-NOP // ADP // HOMO-SER // ATP // Pi // O-PHOSPHO-L-HOMOSERINE // 2-KETO-3-METHYL-VALERATE // GLT // ILE // 2-KETOGLUTARATE // NADPH // 1-KETO-2-METHYLVALERATE // NADP // CARBON-DIOXIDE // 2-ACETO-2-HYDROXY-BUTYRATE // PYRUVATE // THR // AMMONIUM // 2-OXOBUTANOATE // PROTON // WATER // CPD-16013 // CPD-15056	AT5G11520-MONOMER // AT1G62800-MONOMER // AT5G51690-MONOMER // AT1G62960-MONOMER // AT5G19550-MONOMER // AT4G31990-MONOMER // AT2G30970-MONOMER // AT5G13280-MONOMER // AT5G14060-MONOMER // AT3G02020-MONOMER // CPLX-7018 // AT5G21060-MONOMER // AT4G19710-MONOMER // AT1G31230-MONOMER // AT4G35295-MONOMER // AT2G17265-MONOMER // AT1G72810-MONOMER // AT4G29840-MONOMER // AT3G23940-MONOMER // AT1G10070-MONOMER // AT3G49680-MONOMER // AT5G65780-MONOMER // AT3G48560-MONOMER // CPLXQT-4	AT5G11520 // AT1G62800 // AT5G51690 // AT1G62960 // AT5G19550 // AT4G31990 // AT2G30970 // AT5G13280 // AT5G14060 // AT3G02020 // AT1G14810 // AT5G21060 // AT4G19710 // AT1G31230 // AT4G35295 // AT2G17265 // AT1G72810 // AT4G29840 // AT3G23940 // AT1G10070 // AT3G49680 // AT5G65780 // AT3G48560 // AT3G10050	ISOLEUCINE-SYN // Super-Pathways	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN		
PWY-724	THR // CYS // O-PHOSPHO-L-HOMOSERINE // MET // CPD-1301 // CPD-1302 // HOMO-CYS // L-CYSTATHIONINE // 2-AMINOACRYLATE // AMMONIUM // CPD-16015 // ADP // L-ASPARTATE // ATP // L-BETA-ASPARTYL-P // NADPH // NADP // Pi // HOMO-SER // PYRUVATE // L-ASPARTATE-SEMIALDEHYDE // GLT // 2-KETOGLUTARATE // LL-DIAMINOPIMELATE // LYS // CARBON-DIOXIDE // MESO-DIAMINOPIMELATE // PROTON // NADH-P-OR-NOP // CPD-14443 // DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE // NAD-P-OR-NOP // WATER	AT1G72810-MONOMER // AT4G29840-MONOMER // AT4G35295-MONOMER // AT2G17265-MONOMER // AT3G01120-MONOMER // AT5G20980-MONOMER // AT3G03780-MONOMER // AT5G17920-MONOMER // CPLX-1345 // AT4G23600-MONOMER // AT3G57050-MONOMER // MONOMERQT-8645 // AT5G21060-MONOMER // AT5G13280-MONOMER // AT5G14060-MONOMER // AT3G02020-MONOMER // AT4G19710-MONOMER // AT1G31230-MONOMER // CPLX-7018 // AT3G60880-MONOMER // AT2G45440-MONOMER // AT2G13810-MONOMER // AT4G33680-MONOMER // AT3G53580-MONOMER // AT3G14390-MONOMER // AT5G11880-MONOMER // AT5G52100-MONOMER	AT1G72810 // AT4G29840 // AT4G35295 // AT2G17265 // AT3G01120 // AT5G20980 // AT3G03780 // AT5G17920 // AT4G23600 // AT3G57050 // AT3G20390 // AT5G21060 // AT5G13280 // AT5G14060 // AT3G02020 // AT4G19710 // AT1G31230 // AT1G14810 // AT3G60880 // AT2G45440 // AT2G13810 // AT4G33680 // AT3G53580 // AT3G14390 // AT5G11880 // AT5G52100	Amino-Acid-Biosynthesis // Super-Pathways	RXN-14014 // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // RXN-7737 // DIHYDRODIPICSYN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // RXN-15127 // RXN-15124 // RXN-15131 // HOMOCYSMET-RXN // CYSPH-RXN // THRESYN-RXN // HOMOSERKIN-RXN		
PWY-3481	CHORISMATE // GLT // PREPHENATE // 2-KETOGLUTARATE // NADPH // TYR // NADP // PHE // WATER // CARBON-DIOXIDE // PROTON // CPD-659	CPLX-4861 // AT5G34930-MONOMER // AT3G29200-MONOMER // AT5G10870-MONOMER // AT1G69370-MONOMER // AT2G22250-MONOMER // AT1G08250-MONOMER // AT3G44720-MONOMER // AT2G27820-MONOMER // AT3G07630-MONOMER // AT1G11790-MONOMER // AT5G22630-MONOMER	AT1G15710 // AT5G34930 // AT3G29200 // AT5G10870 // AT1G69370 // AT2G22250 // AT1G08250 // AT3G44720 // AT2G27820 // AT3G07630 // AT1G11790 // AT5G22630	Amino-Acid-Biosynthesis // Super-Pathways	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN // RXN-5682 // PREPHENATE-TRANSAMINE-RXN // CHORISMATEMUT-RXN		
THRESYN-PWY	L-BETA-ASPARTYL-P // NADPH // NADP // NADH-P-OR-NOP // L-ASPARTATE-SEMIALDEHYDE // NAD-P-OR-NOP // ADP // PROTON // HOMO-SER // ATP // THR // Pi // O-PHOSPHO-L-HOMOSERINE // WATER // GLT // OXALACETIC_ACID // L-ASPARTATE // 2-KETOGLUTARATE	AT5G13280-MONOMER // AT5G14060-MONOMER // AT3G02020-MONOMER // CPLX-7018 // AT5G21060-MONOMER // AT4G19710-MONOMER // AT1G31230-MONOMER // AT4G35295-MONOMER // AT2G17265-MONOMER // AT1G72810-MONOMER // AT4G29840-MONOMER // AT5G11520-MONOMER // AT1G62800-MONOMER // AT5G51690-MONOMER // AT1G62960-MONOMER // AT5G19550-MONOMER // AT4G31990-MONOMER // AT2G30970-MONOMER	AT5G13280 // AT5G14060 // AT3G02020 // AT1G14810 // AT5G21060 // AT4G19710 // AT1G31230 // AT4G35295 // AT2G17265 // AT1G72810 // AT4G29840 // AT5G11520 // AT1G62800 // AT5G51690 // AT1G62960 // AT5G19550 // AT4G31990 // AT2G30970	THREONINE-BIOSYNTHESIS // Super-Pathways	ASPAMINOTRANS-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN		
PWY2OL-4	CPD-4211 // DELTA3-ISOPENTENYL-PP // CPD-8997 // PPI // CPD-8996 // GERANYL-PP // WATER	MONOMER-13464 // MONOMER-13458 // MONOMER2OL-32 // CPLX-8656	G-10250 // G-10246 // G2OL-31 // G-15940 // G-15939	Linalool-Biosynthesis // Super-Pathways	4.2.3.26-RXN // 4.2.3.25-RXN // GPPSYN-RXN		
PWY-5991	VAL // CPD-4862 // CPD-4863 // 2-METHYLPROPANAL-OXIME // CPD-4861 // CPD-4864 // LINAMARIN // 2-HYDROXY-2-METHYLPROPANENITRILE // ILE // CPD-10271 // CARBON-DIOXIDE // CPD-10272 // CPD-10273 // CPD-10274 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-10275 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // UDP // CPD-10277 // PROTON // 2-Hydroxy-2-methylbutyronitriles // CPD-12575	MONOMER-6682 // MONOMER-6683 // MONOMER-6681 // MONOMER-6667 // MONOMER-16012 // MONOMER-6686	G-5162 // G-5163 // G-5161 // G-5147 // G-12321	Super-Pathways	RXN-9643 // RXN-9642 // RXN-9641 // RXN-9640 // RXN-9639 // RXN-9638 // RXN-9636 // LINAMARIN-SYNTHASE-RXN // RXN-5082 // RXN-5081 // RXN-5066 // RXN-5065 // RXN-5064 // RXN-5063		
PWY-4765	INOSITOL-1-4-5-TRISPHOSPHATE // CPD-534 // INOSITOL-1456-TETRAKISPHOSPHATE // INOSITOL-1-3-4-TRIPHOSPHATE // CPD-1107 // CPD-506 // MI-HEXAKISPHOSPHATE // ADP // CPD-6661 // PROTON // CPD-505 // ATP	AT5G07370-MONOMER // AT5G61760-MONOMER // AT2G43980-MONOMER // AT4G33770-MONOMER // AT4G08170-MONOMER // AT5G16760-MONOMER // MONOMERQT-9417 // AT1G22100-MONOMER // AT1G58643-MONOMER // AT1G58936-MONOMER // AT1G59312-MONOMER // AT5G61760-MONOMER // AT5G07370-MONOMER // AT5G42810-MONOMER	AT5G07370 // AT5G61760 // AT2G43980 // AT4G33770 // AT4G08170 // AT5G16760 // AT1G59171 // AT1G22100 // AT1G58643 // AT1G58936 // AT1G59312 // AT5G61760 // AT5G07370 // AT5G42810	Cyclitols-Biosynthesis // Super-Pathways	RXN-7185 // RXN-7186 // RXN-7184 // 2.7.1.133-RXN // 2.7.1.140-RXN // 2.7.1.139-RXN // RXN-7182 // 2.7.1.151-RXN // RXN-7162 // RXN-7163		
PWY-5433	CPD-8679 // CPD-8680 // CPD-8682 // CPD-8683 // CPD-8681 // T-2-NONENAL-CMPD // CPD-8677 // CPD-21295 // CPD-8686 // CPD-8678 // WATER // CPD-8690 // LINOLEIC_ACID // HEXANAL // 13-HYDROPEROXYOCTADECA-911-DIENOATE // LINOLENIC_ACID // OXYGEN-MOLECULE // CPD-725 // NADH // NAD // 12-OXO-TRANS-10-DODECENOATE // 12-OXO-CIS-9-DODECENOATE // CO-A // CPD-12846 // ACETYL-COA // CIS-3-HEXENOL // CIS-3-HEXENAL // PROTON // NADPH // TRANS-2-HEXENAL // TRANS-2-HEXENOL // NADP	MONOMER-12728 // MONOMER-12729 // OS05G0355800-MONOMER // OS11G0575600-MONOMER // OS03G0700400-MONOMER // OS06G0135460-MONOMER // OS03G0738600-MONOMER // OS03G0699700-MONOMER // MONOMER-12726 // MONOMER-12733 // MONOMER-12734 // MONOMER-12735 // MONOMER-12737 // MONOMER-12736 // MONOMER-12727 // OS12G0559934-MONOMER // MONOMERN7F-10700 // MONOMERN7F-10706 // OS08G0508800-MONOMER // MONOMERN7F-11690 // OS12G0560200-MONOMER // MONOMERN7F-11900 // MONOMERN7F-11907 // MONOMERN7F-12096 // MONOMERN7F-12117 // MONOMER4FS-28 // MONOMER4FS-29 // MONOMER-16718 // MONOMERN7F-12107 // OS06G0150600-MONOMER // OS06G0155500-MONOMER // OS06G0699100-MONOMER // OS06G0151100-MONOMER // OS07G0244600-MONOMER // OS08G0158800-MONOMER // OS01G0262000-MONOMER // OS01G0261700-MONOMER // OS10G0105900-MONOMER // OS01G0261600-MONOMER // OS04G0609500-MONOMER // OS04G0609300-MONOMER // MONOMERN7F-11209 // OS10G0456100-MONOMER // OS03G0748100-MONOMER // OS07G0685800-MONOMER // OS06G0185100-MONOMER // OS07G0170000-MONOMER // OS05G0140800-MONOMER // OS04G0496000-MONOMER // OS07G0561500-MONOMER	G-9759 // G-9760 // OS05G0355800 // OS11G0575600 // OS03G0700400 // OS06G0135460 // OS03G0738600 // OS03G0699700 // G-9757 // G-9764 // G-9765 // G-9766 // G-9758 // OS12G0559934 // OS03G0700700 // OS03G0179900 // OS08G0508800 // OS12G0559200 // OS12G0560200 // OS02G0194700 // OS05G0304600 // OS04G0447100 // OS08G0509100 // G4FS-17 // G4FS-18 // G-14575 // OS02G0110200 // OS06G0150600 // OS06G0155500 // OS06G0699100 // OS06G0151100 // OS07G0244600 // OS08G0158800 // OS01G0262000 // OS01G0261700 // OS10G0105900 // OS01G0261600 // OS04G0609500 // OS04G0609300 // OS08G0562500 // OS10G0456100 // OS03G0748100 // OS07G0685800 // OS06G0185100 // OS07G0170000 // OS05G0140800 // OS04G0496000 // OS07G0561500	FATTY-ACID-DERIVATIVE-SYN // Super-Pathways	RXN-12299 // RXN-1346 // RXN-11852 // RXN-1349 // RXN-1347 // RXN-1345 // RXN-1321 // HYDROHEX-RXN // LIPOXYGENASE-RXN // RXN-8504 // RXN-8503 // RXN-8502 // RXN-8501 // RXN-8500 // RXN-8499 // RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495		
PWY18C3-25	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-19197 // CPD-19215 // UDP-D-XYLOSE // CPD-110 // METOH // WATER // PROTON // UDP // CPD-21592 // CPD-12575 // CPD-6442	MONOMER18C3-52 // MONOMER18C3-51 // MONOMER18C3-54 // CPLX18C3-1	G18C3-48 // G18C3-47 // G18C3-50 // G18C3-49	PHENYLPROPANOID-SYN // Super-Pathways	RXN-20310 // RXNQT-4366 // RXN18C3-56 // RXN18C3-58 // RXN-6723	CPD-12575 // CPD-6442 // WATER // WATER // UDP-D-XYLOSE	UDP // PROTON // METOH // CPD-110 // CPD-110 // METOH // CPD-19197
PWY-7342	FORMATE // Ox-NADPH-Hemoprotein-Reductases // CPD-2748 // Red-NADPH-Hemoprotein-Reductases // CPD-14074 // CPD-14075 // NADPH // NICOTINE // CPD-14076 // NADP // PRPP // PPI // CARBON-DIOXIDE // Pi // QUINOLINATE // DIHYDROXY-ACETONE-PHOSPHATE // IMINOASPARTATE // L-ASPARTATE // NIACINE // CPD-15317 // NICOTINATE_NUCLEOTIDE // ADENOSYL-HOMO-CYS // PROTON // S-ADENOSYLMETHIONINE // PUTRESCINE // HYDROGEN-PEROXIDE // AMMONIUM // CPD-394 // OXYGEN-MOLECULE // WATER // CPD-7994 // CPD-7993	MONOMER-12436 // MONOMER-12437 // CPLX-7160 // MONOMER-12449 // MONOMER-12622 // MONOMER-12670	G-9560 // MPO1 // G-9567 // G-9689	PYRROLIDINE-ALKALOIDS // Super-Pathways	RXN-8246 // RXN-8244 // PUTRESCINE-N-METHYLTRANSFERASE-RXN // RXN-8444 // L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // RXN-13060 // RXN-13059 // RXN-13058 // RXN-13057 // RXN-8248	OXYGEN-MOLECULE // L-ASPARTATE // DIHYDROXY-ACETONE-PHOSPHATE // PRPP // CPD-7994 // Red-NADPH-Hemoprotein-Reductases	CPD-15317 // HYDROGEN-PEROXIDE // Pi // PPI // CARBON-DIOXIDE // CPD-2748 // Ox-NADPH-Hemoprotein-Reductases // FORMATE
PWY-5424	CPD-4886 // CPD-4891 // CPD-4892 // CPD-4888 // CPD-8768 // CPD-8756 // CPD-4902 // CPD-4921 // GERANYL-PP // CPD-8758 // CPD-8230 // CPD-8730 // CPD-8701 // CPD-8762 // PPI // CPD-8738 // FARNESYL-PP	AG9-MONOMER // MONOMER-12819 // MONOMER-12762 // MONOMER-12767 // MONOMER-12818 // AG8-MONOMER // AG11-MONOMER // MONOMER-12769 // MONOMER-12820 // MONOMER-12765 // MONOMER-12775 // AG6-MONOMER // AG4-MONOMER // MONOMER-12770 // MONOMER-12772 // AG5-MONOMER // MONOMER-12817	AG9 // G-9828 // G-9775 // G-9781 // G-9827 // AG8 // AG11 // G-9784 // G-9829 // G-9778 // G-9788 // AG6 // AG4 // G-9785 // G-9787 // AG5 // G-9826	Terpenoid-Biosynthesis // Super-Pathways	RXN-8550 // RXN-8572 // RXN-8540 // RXN-8541 // RXN-8414 // RXN-8566 // RXN-5142 // RXN-5121 // RXN-8565 // RXN-5143 // RXN-5110 // RXN-5106 // RXN-5107 // 4.2.3.16-RXN		
PWY-4221ARA	CO-A // DEPHOSPHO-COA // CARBON-DIOXIDE // PANTETHEINE-P // CMP // R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE // CYS // CTP // AMP // PPI // B-ALANINE // NADPH // L-PANTOATE // NADP // THF-GLU-N // 2-DEHYDROPANTOATE // METHYLENE-THF-GLU-N // 2-KETO-ISOVALERATE // WATER // ADP // 4-P-PANTOTHENATE // PROTON // PANTOTHENATE // ATP	AT2G18250-MONOMER // AT2G27490-MONOMER // AT1G48605-MONOMER // AT3G18030-MONOMER // MONOMERQT-8074 // AT1G12350-MONOMER // AT5G48840-MONOMER // AT5G34780-MONOMER // AT2G46110-MONOMER // AT3G61530-MONOMER // AT1G60440-MONOMER // AT4G32180-MONOMER	AT2G18250 // AT2G27490 // AT1G48605 // AT3G18030 // AT5G02080 // AT1G12350 // AT5G48840 // AT5G34780 // AT2G46110 // AT3G61530 // AT1G60440 // AT4G32180	CoA-Biosynthesis // Super-Pathways	PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN // P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN		
